,
Literacy Rate 2001,
State,Total
Uttar Pradesh,56.3
Maharashtra,76.9
Bihar,47
West Bengal,68.6
Andhra Pradesh,60.5
Tamil Nadu,73.5
Madhya Pradesh,63.7
Rajasthan,60.1
Karnataka,66.6
Gujarat,69.1
Orissa,63.1
Kerala,90.9
Jharkhand,53.6
Assam,63.3
Punjab,69.7
Haryana,57.9
Chhattisgarh,64.7
Delhi,81.7
Jammu and Kashmir,55.5
Uttarakhand,71.6
Himachal Pradesh,76.5
Tripura,73.2
Manipur,70.5
Meghalaya,62.5
Nagaland,66.6
Goa,82
Arunachal Pradesh,54.3
Puducherry,81.2
Mizoram,88.8
Chandigarh,81.9
Sikkim,68.8
Andaman and Nicobar Islands,81.3
Dadra and Nagar Haveli,57.6
Daman and Diu,78.2
Lakshadweep,86.7