S.No,State,Literacy.Rate
1,Andaman & Nicobar Islands,86.30%
2,Andhra Pradesh,67.70%
3,Arunachal Pradesh,67.00%
4,Assam,73.20%
5,Bihar,63.80%
6,Chandigarh,86.40%
7,Chattisgarh,71.00%
8,Dadra & Nagar Haveli,77.70%
9,Daman & Diu,87.10%
10,Delhi,86.30%
11,Goa,87.40%
12,Gujarat,79.30%
13,Haryana,76.60%
14,Himachal Pradesh,83.80%
15,Jammu And Kashmir,68.70%
16,Jharkhand,67.60%
17,Karnataka,75.60%
18,Kerala,93.90%
19,Lakshadweep,92.30%
20,Madhya Pradesh,70.60%
21,Maharashtra,82.90%
22,Manipur,79.80%
23,Meghalaya,75.50%
24,Mizoram,91.60%
25,Nagaland,80.10%
26,Odisha,73.50%
27,Puducherry,86.50%
28,Punjab,76.70%
29,Rajasthan,67.10%
30,Sikkim,82.20%
31,Tamil Nadu,80.30%
32,Tripura,87.80%
33,Uttar Pradesh,69.70%
34,Uttarakhand,79.60%
35,West Bengal,77.10%
-,INDIA,74.04%